crime_rate,ZN,INDUS,room_num,age,RAD,TAX,PTRATIO,B,poor_prep,price,avg_dist,sold
0.006300112548479956,18.0,2.31,6.575,65.2,lake,296,15.3,396.9,4.98,24.0,2.314,0
0.026943735447546132,0.0,7.07,6.421,78.9,lake,242,17.8,396.9,9.14,21.6,2.7180500000000003,0
0.026924266937860014,0.0,7.07,7.185,61.1,lake,242,17.8,392.83,4.03,34.7,2.7180500000000003,0
0.0318571299356596,0.0,2.18,6.9979999999999976,45.8,river,222,18.7,394.63,2.94,33.4,3.2601,0
0.06677040363385242,0.0,2.18,7.147,54.2,river,222,18.7,396.9,12.715432098765431,36.2,3.2601,0
0.02941316056834955,0.0,2.18,6.43,58.7,river,222,18.7,394.12,5.21,28.7,3.2601,0
0.08460765703482563,12.5,7.87,6.0120000000000005,66.6,lake,311,15.2,395.6,12.43,22.9,3.04225,0
0.1350115466558769,12.5,7.87,6.1720000000000015,96.1,lake,311,15.2,396.9,19.15,27.1,3.23725,0
0.19164462825480608,12.5,7.87,5.631,100.0,lake,311,15.2,386.63,29.93,16.5,3.30305,0
0.15703793625945522,12.5,7.87,6.004,85.9,lake,311,15.2,386.71,17.1,18.9,3.55805,0
0.20285104404642806,12.5,7.87,6.377000000000002,94.3,lake,311,15.2,392.52,20.45,15.0,3.43535,0
0.11106720150765234,12.5,7.87,6.009,82.9,lake,311,15.2,396.9,13.27,18.9,3.37535,0
0.0896395868849593,12.5,7.87,5.8889999999999985,39.0,lake,311,15.2,390.5,15.71,21.7,2.98745,0
0.4884327647141028,0.0,8.14,5.949,61.8,river,307,21.0,396.9,8.26,20.4,2.62275,0
0.493451565108284,0.0,8.14,6.096,84.5,river,307,21.0,380.02,10.26,18.2,2.49995,0
0.4869775044907407,0.0,8.14,5.834,56.5,river,307,21.0,395.62,8.47,19.9,2.5183,0
0.7197550310814291,0.0,8.14,5.935,29.3,river,307,21.0,386.85,6.58,23.1,2.5183,0
0.5789701354975461,0.0,8.14,5.99,81.7,river,307,21.0,386.75,14.67,17.5,2.39795,0
0.5892910882451726,0.0,8.14,5.456,36.6,river,307,21.0,288.99,11.69,20.2,2.16725,0
0.5456907110920701,0.0,8.14,5.727,69.5,river,307,21.0,390.95,11.28,18.2,2.16725,0
0.8117254554853012,0.0,8.14,5.57,98.1,river,307,21.0,376.57,21.02,13.6,2.16795,0
0.6162877342628865,0.0,8.14,5.965,89.2,river,307,21.0,392.53,13.83,19.6,2.27515,0
0.8031085958282844,0.0,8.14,6.142,91.7,river,307,21.0,396.9,18.72,15.2,2.25745,0
0.6873453826321089,0.0,8.14,5.813,100.0,river,307,21.0,394.54,19.88,14.5,2.3166,0
0.5597643483283524,0.0,8.14,5.924,94.1,river,307,21.0,394.33,16.3,15.6,2.4688000000000003,0
0.6100590068254428,0.0,8.14,5.599,85.7,river,307,21.0,303.42,16.51,13.9,2.4963,0
0.5139666854625483,0.0,8.14,5.813,90.3,river,307,21.0,376.88,14.81,16.6,2.61,0
0.6707839777866773,0.0,8.14,6.0470000000000015,88.8,river,307,21.0,306.38,17.28,14.8,2.4957000000000003,0
0.5726673869182407,0.0,8.14,6.495,94.4,river,307,21.0,387.94,12.8,18.4,2.49635,0
0.6943714308596382,0.0,8.14,6.674,87.3,river,307,21.0,380.23,11.98,21.0,2.3885,0
0.7565021891227189,0.0,8.14,5.712999999999999,94.1,river,307,21.0,360.17,22.6,12.7,2.3855000000000004,0
0.8564218244336659,0.0,8.14,6.072,100.0,river,307,21.0,376.73,13.04,14.5,2.3565,0
0.8704520079168976,0.0,8.14,5.95,82.0,river,307,21.0,232.6,27.71,13.2,2.264,0
0.7662675223101358,0.0,8.14,5.7010000000000005,95.0,river,307,21.0,358.77,18.35,13.1,2.1626,0
0.9604300978281596,0.0,8.14,6.096,96.9,river,307,21.0,248.31,20.34,13.5,2.1489,0
0.06219515259296712,0.0,5.96,5.933,68.2,lake,279,19.2,396.9,12.715432098765431,18.9,1.92965,0
0.09298019476887416,0.0,11.083991769547325,5.841,61.4,lake,279,19.2,377.56,11.41,20.0,1.93845,0
0.07709066236456362,0.0,5.96,5.85,41.5,lake,279,19.2,396.9,8.77,21.0,2.2166,0
0.16131069988225022,0.0,5.96,5.966,30.2,lake,279,19.2,393.43,10.13,24.7,2.17315,0
0.027255180066451504,75.0,2.95,6.595,21.8,river,252,18.3,395.63,4.32,30.8,2.91455,0
0.033038179076797375,75.0,2.95,7.024,15.8,river,252,18.3,395.62,1.98,34.9,2.91455,0
0.11994957590111854,0.0,6.91,6.77,2.9,river,233,17.9,385.41,4.84,26.6,3.0844500000000004,0
